Area Code,Area Name,NHS region,Region (Governement) ,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020
E06000023,"Bristol, City of",South West,South West,2,2,3,3,5,4,5,7,8,12,12,13,20,23,28,37,41,51,56,65,78,92,103,117,137,156,166
E06000024,North Somerset,South West,South West,1,1,0,0,0,0,0,2,3,4,4,4,5,5,7,21,21,22,24,31,32,36,40,42,50,58,66
E06000025,South Gloucestershire,South West,South West,0,0,1,1,1,2,4,5,6,9,12,13,14,17,19,19,25,31,37,49,53,58,66,76,91,104,113
E06000026,Plymouth,South West,South West,0,0,0,0,1,1,2,2,2,5,7,7,11,11,11,16,21,26,32,39,42,44,50,56,60,71,71
E06000027,Torbay,South West,South West,7,7,7,7,7,7,7,7,6,6,8,10,10,16,17,17,18,21,23,25,30,35,36,42,49,51,53
E06000030,Swindon,South West,South West,2,2,2,2,2,2,2,2,2,3,4,5,5,6,7,7,8,11,16,18,26,28,29,31,40,44,49
E06000031,Peterborough,East of England,East of England,1,1,1,1,1,1,1,1,0,2,2,2,2,2,3,6,9,10,11,20,21,24,36,36,37,48,48
E06000032,Luton,East of England,East of England,2,2,2,2,3,3,2,3,3,3,3,4,5,8,15,19,29,30,47,53,63,69,86,91,115,116,128
E06000033,Southend-on-Sea,East of England,East of England,1,1,1,1,2,2,3,3,4,5,4,5,8,8,8,8,9,12,17,23,24,31,39,44,71,76,76
E06000034,Thurrock,East of England,East of England,0,0,0,0,0,0,1,1,1,2,3,6,8,10,13,15,15,20,26,33,37,41,54,62,79,83,83
E06000035,Medway,South East,South East,2,2,2,2,2,2,2,2,4,4,8,11,11,11,15,19,25,32,48,50,57,72,78,98,110,116,144
